Date,Open,High,Low,Close,Adj Close,Volume
2020-01-22,12.450000,13.010000,12.310000,12.910000,12.910000,0
2020-01-23,13.260000,14.150000,12.940000,12.980000,12.980000,0
2020-01-24,12.750000,15.980000,12.620000,14.560000,14.560000,0
2020-01-27,17.420000,19.020000,16.820000,18.230000,18.230000,0
2020-01-28,16.940001,18.030001,15.690000,16.280001,16.280001,0
2020-01-29,15.680000,16.650000,14.940000,16.389999,16.389999,0
2020-01-30,17.820000,18.389999,15.300000,15.490000,15.490000,0
2020-01-31,16.250000,19.990000,16.180000,18.840000,18.840000,0
2020-02-03,18.639999,18.879999,17.100000,17.969999,17.969999,0
2020-02-04,16.450001,16.459999,15.630000,16.049999,16.049999,0
2020-02-05,16.290001,16.320000,15.020000,15.150000,15.150000,0
2020-02-06,15.130000,15.660000,14.700000,14.960000,14.960000,0
2020-02-07,15.070000,16.160000,14.810000,15.470000,15.470000,0
2020-02-10,15.880000,16.430000,15.010000,15.040000,15.040000,0
2020-02-11,14.910000,15.270000,14.380000,15.180000,15.180000,0
2020-02-12,14.860000,14.880000,13.730000,13.740000,13.740000,0
2020-02-13,14.430000,15.440000,14.000000,14.150000,14.150000,0
2020-02-14,14.120000,14.540000,13.380000,13.680000,13.680000,0
2020-02-18,14.980000,15.490000,14.530000,14.830000,14.830000,0
2020-02-19,14.660000,14.740000,14.210000,14.380000,14.380000,0
2020-02-20,14.540000,17.209999,14.490000,15.560000,15.560000,0
2020-02-21,17.330000,18.209999,16.190001,17.080000,17.080000,0
2020-02-24,22.250000,26.350000,22.000000,25.030001,25.030001,0
2020-02-25,23.280001,30.250000,22.620001,27.850000,27.850000,0
2020-02-26,26.629999,29.570000,24.760000,27.559999,27.559999,0
2020-02-27,32.139999,39.310001,29.370001,39.160000,39.160000,0
2020-02-28,42.020000,49.480000,39.369999,40.110001,40.110001,0
2020-03-02,38.540001,40.410000,31.500000,33.419998,33.419998,0
2020-03-03,33.650002,41.060001,24.930000,36.820000,36.820000,0
2020-03-04,34.439999,35.580002,30.299999,31.990000,31.990000,0
2020-03-05,33.610001,42.840000,33.540001,39.619999,39.619999,0
2020-03-06,48.930000,54.389999,40.840000,41.939999,41.939999,0
2020-03-09,41.939999,62.119999,41.939999,54.459999,54.459999,0
2020-03-10,49.680000,55.660000,43.560001,47.299999,47.299999,0
2020-03-11,52.240002,55.820000,49.980000,53.900002,53.900002,0
2020-03-12,61.459999,76.830002,59.910000,75.470001,75.470001,0
2020-03-13,65.070000,77.570000,55.169998,57.830002,57.830002,0
2020-03-16,57.830002,83.559998,57.830002,82.690002,82.690002,0
2020-03-17,82.690002,84.830002,70.370003,75.910004,75.910004,0
2020-03-18,69.370003,85.470001,69.370003,76.449997,76.449997,0
2020-03-19,80.620003,84.260002,68.570000,72.000000,72.000000,0
2020-03-20,67.860001,69.510002,57.419998,66.040001,66.040001,0
2020-03-23,74.080002,76.739998,60.459999,61.590000,61.590000,0
2020-03-24,58.759998,61.880001,36.240002,61.669998,61.669998,0
2020-03-25,61.439999,68.860001,58.029999,63.950001,63.950001,0
2020-03-26,65.669998,67.059998,57.660000,61.000000,61.000000,0
2020-03-27,64.949997,69.099998,61.799999,65.540001,65.540001,0
2020-03-30,66.300003,67.690002,56.599998,57.080002,57.080002,0
2020-03-31,56.689999,58.750000,50.880001,53.540001,53.540001,0
2020-04-01,57.380001,60.590000,52.759998,57.060001,57.060001,0
2020-04-02,54.459999,57.240002,50.450001,50.910000,50.910000,0
2020-04-03,51.110001,52.290001,46.740002,46.799999,46.799999,0
2020-04-06,44.169998,45.730000,43.450001,45.240002,45.240002,0
2020-04-07,44.830002,47.509998,43.509998,46.700001,46.700001,0
2020-04-08,45.900002,47.279999,42.529999,43.349998,43.349998,0
2020-04-09,43.000000,45.730000,41.389999,41.669998,41.669998,0
2020-04-13,44.599998,45.040001,41.169998,41.169998,41.169998,0
2020-04-14,40.240002,40.570000,37.310001,37.759998,37.759998,0
2020-04-15,42.570000,43.230000,40.049999,40.840000,40.840000,0
2020-04-16,41.919998,43.020000,39.869999,40.110001,40.110001,0
2020-04-17,39.500000,40.259998,37.630001,38.150002,38.150002,0
2020-04-20,40.680000,43.830002,39.880001,43.830002,43.830002,0
2020-04-21,44.279999,47.770000,43.770000,45.410000,45.410000,0
2020-04-22,44.910000,45.070000,41.410000,41.980000,41.980000,0
2020-04-23,41.299999,42.470001,39.060001,41.380001,41.380001,0
2020-04-24,38.799999,40.169998,35.599998,35.930000,35.930000,0
2020-04-27,36.290001,36.439999,32.509998,33.290001,33.290001,0
2020-04-28,33.209999,35.389999,30.540001,33.570000,33.570000,0
2020-04-29,32.480000,33.189999,30.709999,31.230000,31.230000,0
2020-04-30,30.990000,35.939999,30.930000,34.150002,34.150002,0
2020-05-01,38.169998,39.570000,36.590000,37.189999,37.189999,0
